1: 1.5$
2: 3.4$
3: 4.8$
4: 6.2$
5: 8.2$
6: 10.2$
7: 12.5$
8: 14.0$
9 : 16.00$
10 : 18.90$
11 : 20.47$
12 : 22.24$
13 : 24.36$
14 : 26.47$
15 : 28.50$
16 : 30.06$
17 : 31.71$
18 : 33.60$
19 : 35.20$
20 : 37.39$
21 : 38.96$
22 : 41.28$
23 : 43.61$
24 : 44.55$
25 : 46.72$
26 : 48.76$
27 : 50.56$
28 : 52.63$
29 : 54.69$
30 : 55.80$
31 : 57.59$
32 : 59.57$
33 : 61.55$
34 : 63.93$
35 : 65.54$
36 : 67.54$
37 : 69.23$
38 : 70.34$
39 : 72.49$
40 : 74.06$
41 : 77.67$
42 : 78.19$
43 : 81.64$
44 : 82.12$
45 : 84.96$
46 : 85.46$
47 : 87.77$
48 : 90.23$
49 : 92.56$
50 : 93.75$
51 : 95.28$
52 : 97.91$
53 : 100.24$
54 : 101.08$
55 : 104.34$
56 : 104.58$
57 : 106.91$
58 : 109.87$
59 : 110.78$
60 : 112.09$
61 : 113.65$
62 : 116.72$
63 : 117.37$
64 : 118.44$
65 : 121.47$
66 : 122.77$
67 : 125.18$
68 : 128.36$
69 : 128.09$
70 : 130.41$
71 : 131.43$
72 : 134.74$
73 : 138.43$
74 : 137.31$
75 : 141.09$
76 : 140.97$
77 : 144.44$
78 : 147.71$
79 : 148.06$
80 : 150.41$
81 : 153.65$
82 : 154.01$
83 : 155.25$
84 : 158.13$
85 : 160.81$
86 : 159.63$
87 : 163.52$
88 : 166.38$
89 : 167.65$
90 : 169.56$
91 : 169.86$
92 : 170.33$
93 : 174.61$
94 : 174.96$
95 : 176.90$
96 : 180.75$
97 : 180.71$
98 : 185.74$
99 : 185.52$
